order_id,customer_id,product_id,created_at,amount,currency,qty,status
ORD-1001,C-100,P-10,2026-03-10T20:15:00Z,45.00,GHS,1,paid
ORD-1002,C-101,P-15,2026-03-10 23:30:00,2.50,USD,1,paid
ORD-1003,C-103,P-13,2026-03-10T21:45:00+03:00,80.00,USD,1,paid
ORD-1004,C-102,P-11,2026-03-10T18:00:00Z,12.00,USD,2,paid
ORD-1005,C-104,P-14,2026-03-10T10:00:00Z,99.00,USD,1,paid
ORD-1005,C-104,P-14,2026-03-10T10:00:00Z,99.00,USD,1,paid
ORD-1006,C-105,P-10,,,GHS,3,paid
ORD-1007,C-100,P-14,2026-03-10T12:00:00Z,N/A,USD,1,paid
ORD-1008,C-101,P-12,2026-03-10T08:00:00Z,2.50,USD,1,refunded
ORD-1009,C-105,P-12,2026-03-10T21:30:00Z,15.00,GHS,1,paid
